GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,89,2,9,1,18,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,32,220,5,6,10,58,5,8,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,9,45,4,4,1,14,5,6,1,6
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,48,245,2,6,9,59,2,8,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,92,2,2,5,24,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,29,43,3,3,9,20,4,5,1,5
